LADO;NFC;QR
ESTE;486787782;01100207902
ESTE;589873179;01100208001
ESTE;601225499;01100208002
ESTE;584710651;01100208101
ESTE;590757387;01100208102
ESTE;590305205;01100208201
ESTE;719128756;01100208202
ESTE;600538597;01100208301
ESTE;966565370;01100208302
ESTE;144199431;01100208401
ESTE;729176683;01100208402
ESTE;458585321;01100208501
ESTE;559999381;01100208502
ESTE;585711355;01100208601
ESTE;580621275;01100208602
ESTE;976611338;01100208801
ESTE;984045322;01100208802
ESTE;717481124;01100208901
ESTE;713815716;01100208902
ESTE;720078244;01100209001
ESTE;711766676;01100209002
ESTE;572223947;01100209101
ESTE;401536804;01100209102
ESTE;735281755;01100209301
ESTE;724187739;01100209302
ESTE;720677268;01100209501
ESTE;708478884;01100209502
ESTE;558312101;01100209601
ESTE;568451269;01100209602
ESTE;987545610;01100209701
ESTE;591779573;01100209702
ESTE;257439991;01100209801
ESTE;720563364;01100209802
ESTE;500981718;01100209901
ESTE;493847734;01100209902
ESTE;727530587;01100210001
ESTE;721779803;01100210002
ESTE;729161835;01100210003
ESTE;574770683;01100300101
ESTE;505325494;01100300102
ESTE;563542421;01100300201
ESTE;562886309;01100300202
ESTE;607576677;01100300301
ESTE;464084457;01100300302
ESTE;150697509;01100300501
ESTE;496554153;01100300502
ESTE;698457418;01100300601
ESTE;603460875;01100300602
ESTE;591432459;01100300701
ESTE;688705818;01100300702
ESTE;930141944;01100300801
ESTE;146870279;01100300802
ESTE;731471995;01100300901
ESTE;744838453;01100300902
ESTE;732594043;01100301001
ESTE;721984891;01100301002
ESTE;598299829;01100301101
ESTE;599947205;01100301102
ESTE;569957781;01100301201
ESTE;555555237;01100301202
ESTE;556085669;01100301301
ESTE;565041045;01100301302
ESTE;941873448;01100301401
ESTE;941557880;01100301402
ESTE;270555383;01100301501
ESTE;499935702;01100301502
ESTE;497425878;01100301601
ESTE;498808262;01100301602
ESTE;489334953;01100301701
ESTE;501968057;01100301702
ESTE;487555254;01100301801
ESTE;497657782;01100301802
ESTE;719563428;01100301901
ESTE;706286244;01100301902
ESTE;447639736;01100302001
ESTE;446459848;01100302002
ESTE;495676614;01100302101
ESTE;501362134;01100302102
ESTE;466287081;01100302201
ESTE;455233529;01100302202
ESTE;570218901;01100302401
ESTE;561251253;01100302402
ESTE;509956262;01100302501
ESTE;862309929;01100302502
ESTE;501731750;01100302601
ESTE;264314855;01100302602
ESTE;856133689;01100302701
ESTE;866833721;01100302702
ESTE;487409334;01100302801
ESTE;495734982;01100302802
ESTE;711465380;01100302901
ESTE;281665527;01100302902
ESTE;827200456;01100303001
ESTE;834191560;01100303002
ESTE;500799670;01100303101
ESTE;267013095;01100303102
ESTE;489009094;01100303301
ESTE;495343814;01100303302
ESTE;501829830;01100303401
ESTE;822785835;01100303402
ESTE;834745288;01100303501
ESTE;834751432;01100303502
ESTE;497918662;01100303601
ESTE;487619286;01100303602
ESTE;466774521;01100303701
ESTE;463181033;01100303702
ESTE;940850248;01100303801
ESTE;908350538;01100303802
ESTE;701100981;01100303901
ESTE;950201960;01100303902
ESTE;398286388;01100304001
ESTE;391200292;01100304002
